icao_code,iata_code,airport_name,city,country,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,altitude,lat_dec,lon_dec
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,006,004,054,S,145,023,030,E,01610,-6.082,145.392
AYLA,LAE,N/A,LAE,PAPUA NEW GUINEA,000,000,000,U,000,000,000,U,00000,0,0
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,005,012,025,S,145,047,019,E,00007,-5.207,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,005,049,034,S,144,017,046,E,01643,-5.826,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,006,034,011,S,146,043,034,E,00073,-6.57,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,009,026,036,S,147,013,012,E,00045,-9.443,147.22
AYRB,RAB,N/A,RABAUL,PAPUA NEW GUINEA,000,000,000,U,000,000,000,U,00000,0,0
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,003,035,001,S,143,040,009,E,00006,-3.584,143.669
BGAM,N/A,N/A,ANGMAGSSALIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGAS,N/A,N/A,ANGISSOQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGAT,N/A,N/A,APUTITEQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,061,009,040,N,045,025,039,W,00035,61.161,-45.427
BGCH,JCH,N/A,CHRISTIANSHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,070,044,022,N,022,038,045,W,00014,70.739,-22.646
BGDB,N/A,N/A,DANEBORG,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGDH,N/A,N/A,DANMARKSHAVN,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGDU,N/A,N/A,DUNDAS,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGEM,JEG,N/A,EGEDESMINDE,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGFD,N/A,N/A,FREDERIKSDAL,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGFH,JFR,N/A,FREDERIKSHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGGD,JGR,N/A,GRONNEDAL,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,064,011,027,N,051,040,041,W,00087,64.191,-51.678
BGGN,JGO,N/A,GODHAVN,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGHB,JHS,N/A,HOLSTEINSBORG,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGIS,N/A,N/A,ISORTOQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGIT,N/A,N/A,IVIGTUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
BGJH,JJU,N/A,JULIANEHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0,0
